label,avg_sentence_length,vocabulary_richness,punctuation_density,passive_voice_ratio,sentence_variance,coherence_score,avg_word_length,transition_word_density,repetition_score,formality_score,burstiness,perplexity,num_paragraphs,has_headers,has_lists,word_count,content_type
AI,29.8637834080262,0.6743778315541766,0.04791783029126086,0.25680084391927366,0.2077025642189957,0.8781027964058917,4.667638632229125,0.10357336389520826,0.15618032961121303,0.813018016839661,0.22971879383423963,18.60026288214999,6,1,1,538,academic
Human,20.58756822684021,0.7009198747981631,0.058211465076378505,0.11970796473664327,0.32105327689406005,0.49233106549415573,4.242526943359198,0.06174880724779361,0.15267862666860074,0.7801376175071352,0.7215467211184925,57.978022938737126,1,0,0,759,blog
Human,18.588646649647416,0.6079322716043101,0.026938937946682166,0.18417928215115625,0.4863450094940209,0.7057627740610593,4.725615716073052,0.06628753221857672,0.1603531920567815,0.6149751587678225,0.6291739618717708,14.596868532949827,1,0,0,1055,news
Human,26.10056354007142,0.7572232485960121,0.030969495951924393,0.16331789871096206,0.4601467918033481,0.5207414313269528,4.760241314088222,0.04353455302799278,0.24723482823988846,0.49620097145499975,0.48225464944389984,107.72240764896549,11,1,0,756,social_media
AI,19.39931091165537,0.5836005464437986,0.04625058547404735,0.15376307926935742,0.3014647283003667,0.7696687185381712,5.450244915315267,0.06450206716694368,0.30591509206782985,0.8202517538269013,0.34806447422356224,22.0184794886867,5,1,1,757,social_media
AI,16.69518884254524,0.6502528150985273,0.028484727012526113,0.116912612302179,0.36778613940623195,0.8082680938911224,5.214334127867154,0.08951670373131679,0.13401466179031815,0.7546659750120197,0.32407311934991534,33.44227712038088,7,1,0,615,social_media
AI,17.878769397706616,0.6746642077634843,0.05360068164346536,0.15993295714970407,0.2933413349102719,0.7907097336076526,5.064646189819417,0.08674660444894755,0.1928469639546175,0.6805393269230539,0.33428893071876736,64.99770274951399,7,0,1,497,article
Human,5.337381081713438,0.7323508674531828,0.018780185064635434,0.0984597333251353,0.416573922510307,0.7448204221997835,4.111767421441127,0.0509869826172024,0.13708824710083412,0.6441802374480456,0.605003564094331,86.55575396412307,2,1,0,351,article
Human,19.76023706741539,0.6119534176251699,0.04251598047665539,0.19632931077260002,0.3717258557034841,0.5557058008271206,4.370712407574989,0.04543947440764312,0.29984909529094045,0.6713809213434364,0.3445490521539539,64.88463732705272,4,1,1,358,social_media
Human,34.744490057392376,0.6421970799063232,0.051468942882380644,0.08762990453117246,0.3358211520057486,0.6420235200017888,5.754364956742853,0.04847970973074682,0.204839903271811,0.6914865266963206,0.5044645691029764,56.77671360496935,3,0,0,426,academic
AI,19.8713539460742,0.6536910066999235,0.05518846869058514,0.20070732028952923,0.2240980584243291,0.8888658935796586,4.637461284122897,0.10342845498445863,0.10851433008874521,0.7386456391605638,0.30881153815183404,52.10691516845475,6,0,1,354,academic
Human,19.20711221638464,0.7082443440811567,0.06285123517970229,0.04683887307481782,0.3961366049688066,0.5851152653006894,3.674441538185006,0.09005018880805431,0.2927619563908662,0.5335890248404759,0.5753291546406029,67.0880884554942,4,0,0,945,article
Human,17.896095106328932,0.6766112413349994,0.05514625621687751,0.10898152125244959,0.5107457926702126,0.641355415644379,5.495767753619881,0.06719444544438158,0.24232782731145316,0.5243426999609778,0.5557953219936145,100.31245923446602,10,0,0,130,social_media
